Crop,Season,Agro_Zone,Zone_Group,mean_temp,rain_avg,Sand_pct,Silt_pct,Clay_pct,Soil_Type,N_kg_ha,P_kg_ha,K_kg_ha,Humidity_pct,pH
Rice,Kharif,14,humid,26.28,146.32,34.62,24.36,41.02,clayey,89.5,34.2,32.4,92.9,5.58
Wheat,Rabi,4,plains,19.56,62.57,48.27,37.06,14.67,sandy,139.2,59.8,57.3,41.5,6.25
Wheat,Rabi,7,plains,22.18,67.58,36.11,35.66,28.23,loamy,97.5,47.8,43.2,60.6,6.03
Wheat,Rabi,13,arid,22.48,28.56,69.42,25.19,5.39,sandy,105.3,48.4,46.2,36.6,6.45
Maize,Kharif,8,plains,28.51,73.76,33.88,27.26,38.86,clayey,99.8,35.8,38.8,75.6,6.44
Sugarcane,Kharif,12,arid,33.57,81.46,43.86,22.37,33.77,loamy,208.9,88.1,98.6,60.9,6.86
Sugarcane,Kharif,5,arid,35.1,89.89,36.46,33.48,30.06,loamy,131.7,66.4,67.7,64.9,7.49
Wheat,Rabi,4,plains,16.11,67.44,50.84,28.65,20.51,sandy,149.0,53.0,58.3,60.0,6.53
Rice,Kharif,10,humid,31.6,103.9,16.42,41.05,42.53,clayey,121.1,40.8,38.8,94.7,5.38
Rice,Kharif,3,plains,34.47,130.88,11.06,44.64,44.3,clayey,147.5,49.6,56.3,91.4,6.02
Rice,Kharif,3,plains,33.32,108.52,18.21,37.31,44.48,clayey,133.0,45.4,49.8,86.0,4.67
Maize,Rabi,4,plains,28.1,64.79,44.27,33.06,22.67,loamy,100.5,32.5,33.7,76.5,5.83
Maize,Kharif,8,plains,23.99,81.69,25.03,26.75,48.22,clayey,148.1,56.9,57.5,67.1,6.27
Sugarcane,Kharif,9,plains,23.38,90.55,26.2,37.31,36.49,clayey,160.4,63.3,64.8,69.3,7.21
Rice,Kharif,2,humid,35.93,154.33,10.7,32.78,56.52,clayey,87.0,25.9,25.0,78.6,6.49
Wheat,Rabi,4,plains,16.85,56.13,56.84,32.78,10.38,sandy,84.3,34.2,33.0,59.8,6.74
Wheat,Rabi,12,arid,20.33,66.21,45.62,34.24,20.14,sandy,125.8,50.9,52.7,60.6,6.09
Maize,Rabi,8,plains,28.83,60.42,22.04,27.5,50.46,clayey,120.6,47.5,42.5,63.9,7.32
Wheat,Rabi,5,arid,22.3,69.3,49.25,39.49,11.26,sandy,99.5,42.2,40.3,45.1,6.13
Maize,Kharif,8,plains,24.47,78.18,27.82,32.1,40.08,clayey,113.4,42.5,48.9,74.4,6.99
Sugarcane,Kharif,5,arid,22.44,85.13,44.83,32.64,22.53,loamy,216.7,95.2,98.4,57.1,6.7
Rice,Kharif,10,humid,28.05,178.73,16.09,39.85,44.06,clayey,124.9,37.6,47.2,83.1,5.09
Sugarcane,Kharif,11,humid,31.71,147.26,42.1,28.12,29.78,loamy,142.1,57.3,60.9,90.0,7.43
Wheat,Rabi,12,arid,22.2,63.7,48.65,35.48,15.87,sandy,122.6,50.4,49.2,42.5,6.87
Wheat,Rabi,8,plains,22.06,60.97,41.57,22.75,35.68,clayey,69.6,26.1,30.6,54.0,6.53
Maize,Kharif,0,plains,18.07,82.09,55.88,33.21,10.91,sandy,114.5,47.3,45.7,78.4,5.56
Maize,Kharif,5,arid,21.75,86.02,48.0,35.07,16.93,sandy,109.6,41.2,48.3,56.0,5.59
Sugarcane,Kharif,10,humid,31.74,157.95,22.22,36.47,41.31,clayey,151.8,55.4,68.4,70.4,6.89
Wheat,Rabi,8,plains,22.49,58.47,41.3,25.57,33.13,loamy,93.2,36.9,42.8,61.8,6.05
Rice,Kharif,6,plains,27.85,129.24,21.64,20.01,58.35,clayey,117.5,36.9,42.4,90.8,6.48
Wheat,Rabi,4,plains,23.08,62.95,50.02,35.61,14.37,sandy,140.0,57.0,54.5,51.2,6.61
Wheat,Rabi,12,arid,21.54,57.66,51.65,31.01,17.34,sandy,112.5,43.2,43.5,38.6,6.9
Maize,Kharif,4,plains,26.59,75.26,46.93,28.41,24.66,sandy,109.5,44.5,48.9,79.7,6.39
Sugarcane,Kharif,12,arid,24.23,81.35,37.99,23.48,38.53,clayey,172.0,71.4,74.6,72.8,6.57
Rice,Kharif,11,humid,31.86,140.98,28.4,28.55,43.05,clayey,115.3,39.3,37.2,97.2,5.57
Maize,Kharif,7,plains,29.19,110.4,27.08,35.01,37.91,clayey,149.6,56.7,59.6,74.2,5.53
Wheat,Rabi,5,arid,15.42,49.39,57.34,26.45,16.21,sandy,148.2,53.7,50.7,58.5,6.13
Rice,Kharif,1,humid,23.89,132.11,18.96,30.0,51.04,clayey,127.1,47.1,59.5,89.4,6.17
Wheat,Rabi,12,arid,21.44,49.21,48.12,38.47,13.41,sandy,101.8,43.7,46.1,38.9,7.02
Wheat,Rabi,5,arid,19.05,69.01,61.03,33.24,5.73,sandy,86.2,29.9,26.9,45.5,7.48
Rice,Kharif,2,humid,28.59,170.0,15.29,34.35,50.36,clayey,81.2,26.4,32.2,83.3,4.69
Rice,Kharif,3,plains,28.37,112.39,22.24,31.11,46.65,clayey,130.1,51.9,59.0,83.1,5.15
